tarih,istasyon_adi,gunluk_yolcu,nem,maksimum_sicaklik,minimum_sicaklik,ruzgar_hizi,ay,gun,donem
2024-03-19,Anadolu Hisarı,521,65.0,18.0,14.0,6.0,3,19,Okul
2024-03-20,Anadolu Hisarı,610,68.0,14.0,11.0,19.0,3,20,Okul
2024-03-21,Anadolu Hisarı,587,72.0,13.0,9.0,27.0,3,21,Okul
2024-03-22,Anadolu Hisarı,620,57.0,13.0,9.0,21.0,3,22,Okul
2024-03-23,Anadolu Hisarı,555,59.0,14.0,9.0,18.0,3,23,Okul
2024-03-24,Anadolu Hisarı,524,51.0,11.0,7.0,20.0,3,24,Okul
2024-03-25,Anadolu Hisarı,523,53.0,17.0,8.0,10.0,3,25,Okul
2024-03-26,Anadolu Hisarı,619,52.0,17.0,11.0,11.0,3,26,Okul
2024-03-27,Anadolu Hisarı,590,71.0,12.0,10.0,19.0,3,27,Okul
2024-03-28,Anadolu Hisarı,525,59.0,10.0,7.0,29.0,3,28,Okul
2024-03-29,Anadolu Hisarı,533,59.0,9.0,7.0,39.0,3,29,Okul
2024-03-30,Anadolu Hisarı,571,59.0,10.0,8.0,42.0,3,30,Okul
2024-03-31,Anadolu Hisarı,535,64.0,12.0,9.0,33.0,3,31,Okul
2024-04-01,Anadolu Hisarı,686,76.0,5.0,5.0,32.0,4,1,Okul
2024-04-02,Anadolu Hisarı,699,61.0,18.0,14.0,7.0,4,2,Okul
2024-04-03,Anadolu Hisarı,693,53.0,13.0,6.0,8.0,4,3,Okul
2024-04-04,Anadolu Hisarı,684,74.0,12.0,8.0,20.0,4,4,Okul
2024-04-05,Anadolu Hisarı,705,55.0,22.0,17.0,12.0,4,5,Okul
2024-04-06,Anadolu Hisarı,748,59.0,25.0,21.0,10.0,4,6,Okul
2024-04-07,Anadolu Hisarı,721,62.0,30.0,24.0,22.0,4,7,Okul
2024-04-08,Anadolu Hisarı,688,62.0,26.0,23.0,18.0,4,8,Okul
2024-04-09,Anadolu Hisarı,751,62.0,26.0,23.0,18.0,4,9,Okul
2024-04-10,Anadolu Hisarı,684,62.0,26.0,23.0,18.0,4,10,Okul
2024-04-11,Anadolu Hisarı,680,62.0,26.0,23.0,18.0,4,11,Okul
2024-04-12,Anadolu Hisarı,694,62.0,26.0,23.0,18.0,4,12,Okul
2024-04-13,Anadolu Hisarı,748,73.0,18.0,13.0,7.0,4,13,Okul
2024-04-14,Anadolu Hisarı,674,82.0,15.0,11.0,15.0,4,14,Okul
2024-04-15,Anadolu Hisarı,681,78.0,12.0,9.0,18.0,4,15,Okul
2024-04-16,Anadolu Hisarı,704,62.0,12.0,9.0,17.0,4,16,Okul
2024-04-17,Anadolu Hisarı,669,58.0,16.0,10.0,8.0,4,17,Okul
2024-04-18,Anadolu Hisarı,654,74.0,13.0,10.0,19.0,4,18,Okul
2024-04-19,Anadolu Hisarı,728,62.0,12.0,9.0,19.0,4,19,Okul
2024-04-20,Anadolu Hisarı,746,56.0,11.0,9.0,20.0,4,20,Okul
2024-04-21,Anadolu Hisarı,717,51.0,13.0,9.0,13.0,4,21,Okul
2024-04-22,Anadolu Hisarı,696,49.0,16.0,10.0,10.0,4,22,Okul
2024-04-23,Anadolu Hisarı,683,53.0,16.0,8.0,16.0,4,23,Okul
2024-04-24,Anadolu Hisarı,700,61.0,21.0,12.0,9.0,4,24,Okul
2024-04-25,Anadolu Hisarı,686,64.0,20.0,14.0,10.0,4,25,Okul
2024-04-26,Anadolu Hisarı,744,63.0,19.0,13.0,11.0,4,26,Okul
2024-04-27,Anadolu Hisarı,720,58.0,21.0,14.0,5.0,4,27,Okul
2024-04-28,Anadolu Hisarı,718,63.0,21.0,16.0,8.0,4,28,Okul
2024-04-29,Anadolu Hisarı,677,66.0,22.0,17.0,7.0,4,29,Okul
2024-04-30,Anadolu Hisarı,703,54.0,21.0,17.0,18.0,4,30,Okul
2024-05-01,Anadolu Hisarı,596,80.0,6.0,5.0,28.0,5,1,Okul
2024-05-02,Anadolu Hisarı,629,70.0,14.0,12.0,17.0,5,2,Okul
2024-05-03,Anadolu Hisarı,693,55.0,14.0,9.0,16.0,5,3,Okul
2024-05-04,Anadolu Hisarı,630,71.0,18.0,9.0,11.0,5,4,Okul
2024-05-05,Anadolu Hisarı,662,58.0,23.0,17.0,12.0,5,5,Okul
2024-05-06,Anadolu Hisarı,664,62.0,28.0,21.0,7.0,5,6,Okul
2024-05-07,Anadolu Hisarı,661,65.0,29.0,23.0,17.0,5,7,Okul
2024-05-08,Anadolu Hisarı,670,52.0,27.0,23.0,18.0,5,8,Okul
2024-05-09,Anadolu Hisarı,620,52.0,27.0,23.0,18.0,5,9,Okul
2024-05-10,Anadolu Hisarı,638,52.0,27.0,23.0,18.0,5,10,Okul
2024-05-11,Anadolu Hisarı,639,52.0,27.0,23.0,18.0,5,11,Okul
2024-05-12,Anadolu Hisarı,640,52.0,27.0,23.0,18.0,5,12,Okul
2024-05-13,Anadolu Hisarı,632,63.0,21.0,15.0,23.0,5,13,Okul
2024-05-14,Anadolu Hisarı,617,71.0,23.0,15.0,18.0,5,14,Okul
2024-05-15,Anadolu Hisarı,598,71.0,24.0,17.0,9.0,5,15,Okul
2024-05-16,Anadolu Hisarı,661,67.0,23.0,17.0,15.0,5,16,Okul
2024-05-17,Anadolu Hisarı,665,77.0,19.0,14.0,16.0,5,17,Okul
2024-05-18,Anadolu Hisarı,651,80.0,20.0,16.0,9.0,5,18,Okul
2024-05-19,Anadolu Hisarı,617,67.0,24.0,18.0,12.0,5,19,Okul
2024-05-20,Anadolu Hisarı,670,55.0,25.0,21.0,11.0,5,20,Okul
2024-05-21,Anadolu Hisarı,669,60.0,25.0,19.0,9.0,5,21,Okul
2024-05-22,Anadolu Hisarı,641,60.0,25.0,19.0,9.0,5,22,Okul
2024-05-23,Anadolu Hisarı,668,57.0,25.0,20.0,8.0,5,23,Okul
2024-05-24,Anadolu Hisarı,684,70.0,22.0,18.0,11.0,5,24,Okul
2024-05-25,Anadolu Hisarı,665,72.0,21.0,16.0,13.0,5,25,Okul
2024-05-26,Anadolu Hisarı,663,67.0,26.0,18.0,10.0,5,26,Okul
2024-05-27,Anadolu Hisarı,602,59.0,26.0,17.0,14.0,5,27,Okul
2024-05-28,Anadolu Hisarı,613,61.0,30.0,20.0,6.0,5,28,Okul
2024-05-29,Anadolu Hisarı,631,57.0,28.0,23.0,11.0,5,29,Okul
2024-05-30,Anadolu Hisarı,653,64.0,27.0,20.0,11.0,5,30,Okul
2024-05-31,Anadolu Hisarı,630,60.0,30.0,23.0,7.0,5,31,Okul
2024-06-01,Anadolu Hisarı,582,68.0,5.0,4.0,17.0,6,1,Okul
2024-06-02,Anadolu Hisarı,547,81.0,12.0,11.0,23.0,6,2,Okul
2024-06-03,Anadolu Hisarı,574,76.0,14.0,12.0,16.0,6,3,Okul
2024-06-04,Anadolu Hisarı,580,75.0,15.0,10.0,19.0,6,4,Okul
2024-06-05,Anadolu Hisarı,604,62.0,22.0,17.0,16.0,6,5,Okul
2024-06-06,Anadolu Hisarı,552,62.0,28.0,23.0,6.0,6,6,Okul
2024-06-07,Anadolu Hisarı,640,61.0,29.0,24.0,11.0,6,7,Okul
2024-06-08,Anadolu Hisarı,588,51.0,27.0,23.0,20.0,6,8,Okul
2024-06-09,Anadolu Hisarı,579,51.0,27.0,23.0,20.0,6,9,Okul
2024-06-10,Anadolu Hisarı,611,51.0,27.0,23.0,20.0,6,10,Tatil
2024-06-11,Anadolu Hisarı,594,51.0,27.0,23.0,20.0,6,11,Tatil
2024-06-12,Anadolu Hisarı,575,51.0,27.0,23.0,20.0,6,12,Tatil
2024-06-13,Anadolu Hisarı,636,64.0,30.0,24.0,8.0,6,13,Tatil
2024-06-14,Anadolu Hisarı,584,63.0,28.0,23.0,14.0,6,14,Tatil
2024-06-15,Anadolu Hisarı,573,67.0,28.0,23.0,12.0,6,15,Tatil
2024-06-16,Anadolu Hisarı,587,68.0,28.0,23.0,17.0,6,16,Tatil
2024-06-17,Anadolu Hisarı,577,63.0,30.0,23.0,18.0,6,17,Tatil
2024-06-18,Anadolu Hisarı,626,66.0,29.0,23.0,18.0,6,18,Tatil
2024-06-19,Anadolu Hisarı,641,62.0,28.0,24.0,18.0,6,19,Tatil
2024-06-20,Anadolu Hisarı,594,58.0,29.0,24.0,11.0,6,20,Tatil
2024-06-21,Anadolu Hisarı,581,61.0,29.0,24.0,11.0,6,21,Tatil
2024-06-22,Anadolu Hisarı,617,66.0,30.0,24.0,13.0,6,22,Tatil
2024-06-23,Anadolu Hisarı,617,62.0,32.0,24.0,7.0,6,23,Tatil
2024-06-24,Anadolu Hisarı,566,47.0,31.0,26.0,14.0,6,24,Tatil
2024-06-25,Anadolu Hisarı,624,70.0,29.0,24.0,24.0,6,25,Tatil
2024-06-26,Anadolu Hisarı,643,70.0,29.0,24.0,24.0,6,26,Tatil
2024-06-27,Anadolu Hisarı,586,59.0,29.0,24.0,22.0,6,27,Tatil
2024-06-28,Anadolu Hisarı,582,57.0,30.0,24.0,15.0,6,28,Tatil
2024-06-29,Anadolu Hisarı,555,54.0,25.0,22.0,24.0,6,29,Tatil
2024-06-30,Anadolu Hisarı,582,50.0,25.0,22.0,18.0,6,30,Tatil
2024-07-01,Anadolu Hisarı,499,75.0,3.0,3.0,25.0,7,1,Tatil
2024-07-02,Anadolu Hisarı,471,76.0,9.0,7.0,29.0,7,2,Tatil
2024-07-03,Anadolu Hisarı,563,57.0,17.0,11.0,9.0,7,3,Tatil
2024-07-04,Anadolu Hisarı,538,73.0,18.0,11.0,8.0,7,4,Tatil
2024-07-05,Anadolu Hisarı,485,67.0,17.0,15.0,20.0,7,5,Tatil
2024-07-06,Anadolu Hisarı,509,56.0,29.0,24.0,8.0,7,6,Tatil
2024-07-07,Anadolu Hisarı,481,53.0,31.0,23.0,14.0,7,7,Tatil
2024-07-08,Anadolu Hisarı,540,59.0,28.0,22.0,22.0,7,8,Tatil
2024-07-09,Anadolu Hisarı,493,59.0,28.0,22.0,22.0,7,9,Tatil
2024-07-10,Anadolu Hisarı,518,59.0,28.0,22.0,22.0,7,10,Tatil
2024-07-11,Anadolu Hisarı,536,59.0,28.0,22.0,22.0,7,11,Tatil
2024-07-12,Anadolu Hisarı,478,59.0,28.0,22.0,22.0,7,12,Tatil
2024-07-13,Anadolu Hisarı,494,46.0,27.0,22.0,8.0,7,13,Tatil
2024-07-14,Anadolu Hisarı,540,53.0,23.0,20.0,9.0,7,14,Tatil
2024-07-15,Anadolu Hisarı,547,63.0,25.0,20.0,10.0,7,15,Tatil
2024-07-16,Anadolu Hisarı,545,57.0,26.0,22.0,12.0,7,16,Tatil
2024-07-17,Anadolu Hisarı,476,63.0,26.0,22.0,23.0,7,17,Tatil
2024-07-18,Anadolu Hisarı,497,56.0,27.0,22.0,16.0,7,18,Tatil
2024-07-19,Anadolu Hisarı,566,60.0,28.0,23.0,20.0,7,19,Tatil
2024-07-20,Anadolu Hisarı,476,62.0,28.0,22.0,24.0,7,20,Tatil
2024-07-21,Anadolu Hisarı,541,59.0,28.0,23.0,20.0,7,21,Tatil
2024-07-22,Anadolu Hisarı,514,57.0,29.0,23.0,19.0,7,22,Tatil
2024-07-23,Anadolu Hisarı,501,56.0,30.0,24.0,17.0,7,23,Tatil
2024-07-24,Anadolu Hisarı,532,64.0,26.0,23.0,18.0,7,24,Tatil
2024-07-25,Anadolu Hisarı,545,59.0,28.0,23.0,14.0,7,25,Tatil
2024-07-26,Anadolu Hisarı,490,58.0,29.0,23.0,17.0,7,26,Tatil
2024-07-27,Anadolu Hisarı,551,59.0,28.0,23.0,19.0,7,27,Tatil
2024-07-28,Anadolu Hisarı,569,66.0,28.0,22.0,19.0,7,28,Tatil
2024-07-29,Anadolu Hisarı,533,63.0,30.0,25.0,10.0,7,29,Tatil
2024-07-30,Anadolu Hisarı,566,69.0,29.0,24.0,10.0,7,30,Tatil
2024-07-31,Anadolu Hisarı,496,58.0,31.0,25.0,8.0,7,31,Tatil
2024-08-01,Anadolu Hisarı,497,73.0,3.0,2.0,24.0,8,1,Tatil
2024-08-02,Anadolu Hisarı,485,64.0,8.0,6.0,15.0,8,2,Tatil
2024-08-03,Anadolu Hisarı,458,57.0,18.0,13.0,9.0,8,3,Tatil
2024-08-04,Anadolu Hisarı,434,71.0,20.0,14.0,8.0,8,4,Tatil
2024-08-05,Anadolu Hisarı,449,61.0,16.0,13.0,10.0,8,5,Tatil
2024-08-06,Anadolu Hisarı,473,59.0,29.0,23.0,13.0,8,6,Tatil
2024-08-07,Anadolu Hisarı,511,54.0,31.0,25.0,12.0,8,7,Tatil
2024-08-08,Anadolu Hisarı,444,59.0,29.0,23.0,19.0,8,8,Tatil
2024-08-09,Anadolu Hisarı,506,59.0,29.0,23.0,19.0,8,9,Tatil
2024-08-10,Anadolu Hisarı,452,59.0,29.0,23.0,19.0,8,10,Tatil
2024-08-11,Anadolu Hisarı,512,59.0,29.0,23.0,19.0,8,11,Tatil
2024-08-12,Anadolu Hisarı,493,59.0,29.0,23.0,19.0,8,12,Tatil
2024-08-13,Anadolu Hisarı,503,61.0,29.0,24.0,28.0,8,13,Tatil
2024-08-14,Anadolu Hisarı,474,72.0,29.0,24.0,17.0,8,14,Tatil
2024-08-15,Anadolu Hisarı,444,75.0,27.0,24.0,15.0,8,15,Tatil
2024-08-16,Anadolu Hisarı,446,73.0,26.0,23.0,19.0,8,16,Tatil
2024-08-17,Anadolu Hisarı,424,72.0,25.0,18.0,19.0,8,17,Tatil
2024-08-18,Anadolu Hisarı,489,58.0,26.0,21.0,13.0,8,18,Tatil
2024-08-19,Anadolu Hisarı,519,61.0,26.0,22.0,18.0,8,19,Tatil
2024-08-20,Anadolu Hisarı,439,65.0,27.0,22.0,20.0,8,20,Tatil
2024-08-21,Anadolu Hisarı,500,70.0,28.0,21.0,15.0,8,21,Tatil
2024-08-22,Anadolu Hisarı,483,71.0,29.0,24.0,17.0,8,22,Tatil
2024-08-23,Anadolu Hisarı,514,74.0,28.0,24.0,20.0,8,23,Tatil
2024-08-24,Anadolu Hisarı,507,71.0,30.0,24.0,19.0,8,24,Tatil
2024-08-25,Anadolu Hisarı,476,69.0,30.0,24.0,20.0,8,25,Tatil
2024-08-26,Anadolu Hisarı,519,66.0,30.0,24.0,25.0,8,26,Tatil
2024-08-27,Anadolu Hisarı,432,61.0,30.0,24.0,27.0,8,27,Tatil
2024-08-28,Anadolu Hisarı,501,58.0,28.0,24.0,27.0,8,28,Tatil
2024-08-29,Anadolu Hisarı,488,61.0,27.0,23.0,24.0,8,29,Tatil
2024-08-30,Anadolu Hisarı,472,64.0,27.0,22.0,20.0,8,30,Tatil
2024-08-31,Anadolu Hisarı,448,63.0,26.0,22.0,22.0,8,31,Tatil
2024-09-01,Anadolu Hisarı,483,62.0,7.0,3.0,25.0,9,1,Tatil
2024-09-02,Anadolu Hisarı,527,64.0,11.0,7.0,8.0,9,2,Tatil
2024-09-03,Anadolu Hisarı,510,66.0,17.0,14.0,14.0,9,3,Tatil
2024-09-04,Anadolu Hisarı,486,74.0,17.0,12.0,12.0,9,4,Tatil
2024-09-05,Anadolu Hisarı,467,57.0,18.0,13.0,6.0,9,5,Tatil
2024-09-06,Anadolu Hisarı,486,68.0,27.0,22.0,18.0,9,6,Tatil
2024-09-07,Anadolu Hisarı,549,58.0,32.0,25.0,8.0,9,7,Tatil
2024-09-08,Anadolu Hisarı,458,61.0,29.0,23.0,20.0,9,8,Tatil
2024-09-09,Anadolu Hisarı,535,61.0,29.0,23.0,20.0,9,9,Tatil
2024-09-10,Anadolu Hisarı,481,61.0,29.0,23.0,20.0,9,10,Tatil
2024-09-11,Anadolu Hisarı,464,61.0,29.0,23.0,20.0,9,11,Tatil
2024-09-12,Anadolu Hisarı,516,61.0,29.0,23.0,20.0,9,12,Tatil
2024-09-13,Anadolu Hisarı,475,61.0,29.0,23.0,20.0,9,13,Tatil
2024-09-14,Anadolu Hisarı,460,61.0,29.0,23.0,20.0,9,14,Okul
2024-09-15,Anadolu Hisarı,454,61.0,29.0,23.0,20.0,9,15,Okul
2024-09-16,Anadolu Hisarı,472,61.0,29.0,23.0,20.0,9,16,Okul
2024-09-17,Anadolu Hisarı,452,61.0,29.0,23.0,20.0,9,17,Okul
2024-09-18,Anadolu Hisarı,546,61.0,29.0,23.0,20.0,9,18,Okul
2024-09-19,Anadolu Hisarı,461,61.0,29.0,23.0,20.0,9,19,Okul
2024-09-20,Anadolu Hisarı,500,61.0,29.0,23.0,20.0,9,20,Okul
2024-09-21,Anadolu Hisarı,471,61.0,29.0,23.0,20.0,9,21,Okul
2024-09-22,Anadolu Hisarı,541,61.0,29.0,23.0,20.0,9,22,Okul
2024-09-23,Anadolu Hisarı,509,61.0,29.0,23.0,20.0,9,23,Okul
2024-09-24,Anadolu Hisarı,477,61.0,29.0,23.0,20.0,9,24,Okul
2024-09-25,Anadolu Hisarı,467,61.0,29.0,23.0,20.0,9,25,Okul
2024-09-26,Anadolu Hisarı,493,61.0,29.0,23.0,20.0,9,26,Okul
2024-09-27,Anadolu Hisarı,546,61.0,29.0,23.0,20.0,9,27,Okul
2024-09-28,Anadolu Hisarı,485,61.0,29.0,23.0,20.0,9,28,Okul
2024-09-29,Anadolu Hisarı,488,61.0,29.0,23.0,20.0,9,29,Okul
2024-09-30,Anadolu Hisarı,545,61.0,29.0,23.0,20.0,9,30,Okul
2024-10-01,Anadolu Hisarı,629,69.0,12.0,10.0,33.0,10,1,Okul
2024-10-02,Anadolu Hisarı,627,67.0,10.0,7.0,6.0,10,2,Okul
2024-10-03,Anadolu Hisarı,646,72.0,16.0,13.0,16.0,10,3,Okul
2024-10-04,Anadolu Hisarı,586,78.0,14.0,12.0,15.0,10,4,Okul
2024-10-05,Anadolu Hisarı,581,65.0,19.0,15.0,9.0,10,5,Okul
2024-10-06,Anadolu Hisarı,596,70.0,26.0,22.0,20.0,10,6,Okul
2024-10-07,Anadolu Hisarı,581,63.0,28.0,23.0,15.0,10,7,Okul
2024-10-08,Anadolu Hisarı,618,59.0,30.0,23.0,20.0,10,8,Okul
2024-10-09,Anadolu Hisarı,604,59.0,30.0,23.0,20.0,10,9,Okul
2024-10-10,Anadolu Hisarı,622,59.0,30.0,23.0,20.0,10,10,Okul
2024-10-11,Anadolu Hisarı,612,59.0,30.0,23.0,20.0,10,11,Okul
2024-10-12,Anadolu Hisarı,644,59.0,30.0,23.0,20.0,10,12,Okul
2024-10-13,Anadolu Hisarı,553,59.0,30.0,23.0,20.0,10,13,Okul
2024-10-14,Anadolu Hisarı,653,59.0,30.0,23.0,20.0,10,14,Okul
2024-10-15,Anadolu Hisarı,585,59.0,30.0,23.0,20.0,10,15,Okul
2024-10-16,Anadolu Hisarı,623,59.0,30.0,23.0,20.0,10,16,Okul
2024-10-17,Anadolu Hisarı,641,59.0,30.0,23.0,20.0,10,17,Okul
2024-10-18,Anadolu Hisarı,622,59.0,30.0,23.0,20.0,10,18,Okul
2024-10-19,Anadolu Hisarı,643,59.0,30.0,23.0,20.0,10,19,Okul
2024-10-20,Anadolu Hisarı,603,59.0,30.0,23.0,20.0,10,20,Okul
2024-10-21,Anadolu Hisarı,635,59.0,30.0,23.0,20.0,10,21,Okul
2024-10-22,Anadolu Hisarı,603,59.0,30.0,23.0,20.0,10,22,Okul
2024-10-23,Anadolu Hisarı,609,59.0,30.0,23.0,20.0,10,23,Okul
2024-10-24,Anadolu Hisarı,581,59.0,30.0,23.0,20.0,10,24,Okul
2024-10-25,Anadolu Hisarı,577,59.0,30.0,23.0,20.0,10,25,Okul
2024-10-26,Anadolu Hisarı,613,59.0,30.0,23.0,20.0,10,26,Okul
2024-10-27,Anadolu Hisarı,561,59.0,30.0,23.0,20.0,10,27,Okul
2024-10-28,Anadolu Hisarı,600,59.0,30.0,23.0,20.0,10,28,Okul
2024-10-29,Anadolu Hisarı,609,59.0,30.0,23.0,20.0,10,29,Okul
2024-10-30,Anadolu Hisarı,621,59.0,30.0,23.0,20.0,10,30,Okul
2024-10-31,Anadolu Hisarı,651,59.0,30.0,23.0,20.0,10,31,Okul
2024-11-01,Anadolu Hisarı,495,84.0,11.0,9.0,26.0,11,1,Okul
2024-11-02,Anadolu Hisarı,523,64.0,14.0,9.0,15.0,11,2,Okul
2024-11-03,Anadolu Hisarı,470,62.0,18.0,14.0,15.0,11,3,Okul
2024-11-04,Anadolu Hisarı,497,77.0,16.0,12.0,20.0,11,4,Okul
2024-11-05,Anadolu Hisarı,474,70.0,20.0,15.0,11.0,11,5,Okul
2024-11-06,Anadolu Hisarı,455,68.0,28.0,22.0,10.0,11,6,Okul
2024-11-07,Anadolu Hisarı,535,71.0,22.0,18.0,24.0,11,7,Okul
